the_name,country,matched_university_id,world_rank,overall_score,teaching,research,citations_or_research_quality,international_outlook,industry_income
Queen Margaret University,United Kingdom,,Reporter,,,,,,
Rome Business School,Italy,,Reporter,,,,,,
Rose Bruford College,United Kingdom,,Reporter,,,,,,
Rostov State University of Economics,Russian Federation,,Reporter,,,,,,
Royal Academy of Dramatic Art (RADA),United Kingdom,,Reporter,,,,,,
Royal Academy of Music,United Kingdom,2183,Reporter,,,,,,
Royal Agricultural University,United Kingdom,,Reporter,,,,,,
"Royal Central School of Speech and Drama, University of London",United Kingdom,,Reporter,,,,,,
Royal College of Art,United Kingdom,2184,Reporter,,,,,,
Royal College of Music,United Kingdom,2185,Reporter,,,,,,
Royal Conservatoire of Scotland,United Kingdom,,Reporter,,,,,,
Royal Northern College of Music,United Kingdom,,Reporter,,,,,,
Russian Biotechnological University (BIOTECH),Russian Federation,,Reporter,,,,,,
SBS Swiss Business School,Switzerland,1954,Reporter,,,,,,
Samsun University,Turkey,,Reporter,,,,,,
Sanko University,Turkey,,Reporter,,,,,,
Saratov State Vavilov Agrarian University,Russian Federation,1649,Reporter,,,,,,
Shirak State University,Armenia,,Reporter,,,,,,
Simon Kuznets Kharkiv National University of Economics,Ukraine,,Reporter,,,,,,
Social Sciences University of Ankara,Turkey,,Reporter,,,,,,
South East European University,North Macedonia,1122,Reporter,,,,,,
"St Mary’s University College, Belfast",United Kingdom,,Reporter,,,,,,
"St Mary’s University, Twickenham",United Kingdom,,Reporter,,,,,,
Stavropol State Agrarian University,Russian Federation,,Reporter,,,,,,
Stranmillis University College,United Kingdom,,Reporter,,,,,,
Sumgayit State University,Azerbaijan,,Reporter,,,,,,
Sumy State Pedagogical University named after A.S. Makarenko,Ukraine,,Reporter,,,,,,
T. C. Demiroğlu Bilim University,Turkey,,Reporter,,,,,,
T.H. Shevchenko National University Chernihiv Colehium,Ukraine,,Reporter,,,,,,
Tarsus University,Turkey,,Reporter,,,,,,
Tbilisi State Medical University,Georgia,,Reporter,,,,,,
Technische Hochschule Ingolstadt,Germany,656,Reporter,,,,,,
The National University of Ostroh Academy,Ukraine,2070,Reporter,,,,,,
Togliatti State University,Russian Federation,1692,Reporter,,,,,,
Tomsk State Pedagogical University,Russian Federation,1697,Reporter,,,,,,
Transport and Telecommunication Institute,Latvia,1097,Reporter,,,,,,
Trinity Laban Conservatoire of Music and Dance,United Kingdom,,Reporter,,,,,,
Tver State Technical University,Russian Federation,1699,Reporter,,,,,,
Tver State University,Russian Federation,1699,Reporter,,,,,,
Ulyanovsk State Technical University,Russian Federation,1717,Reporter,,,,,,
Ulyanovsk State University,Russian Federation,1717,Reporter,,,,,,
Universidad Camilo José Cela,Spain,,Reporter,,,,,,
Universita IULM,Italy,,Reporter,,,,,,
University North,Croatia,218,Reporter,,,,,,
University St. Kliment Ohridski - Bitola,North Macedonia,1127,Reporter,,,,,,
University for the Creative Arts,United Kingdom,,Reporter,,,,,,
University of Agronomic Sciences and Veterinary Medicine of Bucharest,Romania,1442,Reporter,,,,,,
University of Chichester,United Kingdom,,Reporter,,,,,,
University of Civil Protection,Belarus,,Reporter,,,,,,
University of Cumbria,United Kingdom,2372,Reporter,,,,,,
University of Dubrovnik,Croatia,207,Reporter,,,,,,
University of Economics in Bratislava,Slovakia,1781,Reporter,,,,,,
University of Economics – Varna,Bulgaria,194,Reporter,,,,,,
University of Educational Management,Ukraine,,Reporter,,,,,,
University of Greater Manchester,United Kingdom,,Reporter,,,,,,
University of National and World Economy,Bulgaria,202,Reporter,,,,,,
University of Oil and Gas of Ploiești,Romania,1439,Reporter,,,,,,
University of Sopron,Hungary,920,Reporter,,,,,,
University of Suffolk,United Kingdom,,Reporter,,,,,,
University of Tirana,Albania,24,Reporter,,,,,,
University of Turkish Aeronautical Association,Turkey,,Reporter,,,,,,
University of Wales Trinity Saint David,United Kingdom,,Reporter,,,,,,
University of the Azores,Portugal,,Reporter,,,,,,
University of the Built Environment,United Kingdom,,Reporter,,,,,,
University of the Highlands and Islands,United Kingdom,,Reporter,,,,,,
Università Iuav di Venezia,Italy,,Reporter,,,,,,
VIZJA University,Poland,,Reporter,,,,,,
Valahia University of Targoviste,Romania,1453,Reporter,,,,,,
Vasile Alecsandri University of Bacău,Romania,,Reporter,,,,,,
Vinnytsia National Technical University,Ukraine,,Reporter,,,,,,
Vitebsk State Technological University,Belarus,107,Reporter,,,,,,
WHU: Beisheim,Germany,,Reporter,,,,,,
WSB Academy,Poland,,Reporter,,,,,,
West Ukrainian National University,Ukraine,,Reporter,,,,,,
Western Balkans University,Albania,,Reporter,,,,,,
Western Caspian University,Azerbaijan,,Reporter,,,,,,
"Western University ""Vasile Goldiş"" of Arad",Romania,,Reporter,,,,,,
World University of Science and Technology,Georgia,,Reporter,,,,,,
Wrexham University,United Kingdom,,Reporter,,,,,,
Yanka Kupala State University of Grodno,Belarus,,Reporter,,,,,,
Yaroslav Mudryi National Law University,Ukraine,,Reporter,,,,,,
Zhytomyr Ivan Franko State University,Ukraine,,Reporter,,,,,,
Zhytomyr Polytechnic State University,Ukraine,,Reporter,,,,,,
Çağ University,Turkey,,Reporter,,,,,,
İstanbul Nişantaşi University,Turkey,,Reporter,,,,,,
İstanbul Topkapı University,Turkey,,Reporter,,,,,,
“Aurel Vlaicu” University of Arad,Romania,1415,Reporter,,,,,,
